Platform,Impressions,% Δ,Views,% Δ,Engagements,% Δ,Post Count,% Δ
Instagram,6317325,0.6029885558544388,5472215,0.4184336773521953,361866,0.4277890666614058,81,0.19117647058823528
YouTube,3152267,-0.04646977168938722,3152267,-0.04646977168938722,81796,-0.25243108868904,118,-0.09230769230769231
TikTok,1390228,0.050705217445194684,1390228,0.050705217445194684,98056,0.14375029160640135,34,-0.3584905660377358
X,938566,-0.1796827339072674,620454,-0.2847273058446896,13730,-0.5285027472527473,109,0.05825242718446602
