date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,traffic_source_type,traffic_source_detail,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,not_subscribed,SE,24,unknown,26,18,20.735616666666665,68.9465,68.263861386138615,7,5.7925999999999993
20260712,UCSes4X8uDrpc4X46hJKjejg,8tbSej4GRRM,on_demand,not_subscribed,PH,5,,1,1,0,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,5vMh4kTYTEI,on_demand,not_subscribed,GB,4,UCSes4X8uDrpc4X46hJKjejg,1,1,0.24733333333333332,14.84,2.3518225039619653,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k5c7oBPcmRU,on_demand,not_subscribed,CW,24,unknown,1,0,0.0013166666666666667,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,kVGNrF0YpU8,on_demand,not_subscribed,AU,5,,1,1,0.14865,8.919,26.232352941176469,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,QxkwRERjZgA,on_demand,not_subscribed,KR,5,,1,1,0.23333333333333334,14,24.137931034482758,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,pPj9SqEhXao,on_demand,subscribed,US,3,what-to-watch,1,1,0.060833333333333336,3.65,3.7628865979381443,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ePdXtNfowRo,on_demand,not_subscribed,US,7,vvlocPAlK9k,1,1,8.5456666666666674,512.74,99.949317738791422,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wt0fDe3hO0Y,on_demand,subscribed,US,7,1L8cCuJTXtU,1,1,69.32768333333334,4159.661,99.991850961538461,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,US,7,wrAyfu1Xh_M,1,1,1.7665,105.99,13.964426877470355,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,not_subscribed,RS,24,unknown,3,2,1.1125,32.375,50.5859375,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,6wZwOsYD9rQ,on_demand,not_subscribed,US,7,dVOt2PRoaRE,1,1,2.316,138.96,26.723076923076924,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,not_subscribed,IE,5,,1,1,0.34588333333333332,20.753,20.547524752475248,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,IE,3,what-to-watch,2,1,0.855,51.3,100.58823529411765,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,3vvJggGtHLg,on_demand,not_subscribed,US,5,trailblazer preview,12,12,8.0173333333333332,40.086666666666666,97.77235772357723,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,aUW3inoL4fA,on_demand,subscribed,US,3,what-to-watch,1,1,5.2952,317.712,97.457668711656439,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,2vf4qDJNyOw,on_demand,not_subscribed,US,3,what-to-watch,40,40,151.0206,226.53090000000003,40.963996383363472,4,10.570716666666668
20260712,UCSes4X8uDrpc4X46hJKjejg,iXCkzLubjHQ,on_demand,not_subscribed,CA,5,,1,0,0.0035,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,subscribed,DE,3,what-to-watch,1,1,1.0851666666666666,65.11,64.465346534653463,1,1.0851666666666666
20260712,UCSes4X8uDrpc4X46hJKjejg,ePdXtNfowRo,on_demand,subscribed,US,3,what-to-watch,13,13,80.6846,372.39046153846152,72.590733243364824,7,41.544616666666663
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,subscribed,GH,24,unknown,2,1,0.84833333333333338,50.9,99.803921568627445,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,BvHw3ddSlms,on_demand,subscribed,US,3,/my_subscriptions,1,1,0.14098333333333332,8.459,0.177151832460733,1,0.14098333333333332
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,AL,24,unknown,12,6,4.4606833333333329,44.2235,86.712745098039221,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,84XwX8zGUOk,on_demand,subscribed,AU,5,,1,1,0.075,4.5,0.86872586872586877,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,BvHw3ddSlms,on_demand,subscribed,DZ,7,x-nUXNWZOM4,1,1,0.17076666666666668,10.246,0.21457591623036648,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,BvHw3ddSlms,on_demand,not_subscribed,ZA,3,what-to-watch,1,1,0.05605,3.363,0.07042931937172775,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,NZ,5,,2,1,1.2721666666666667,76.33,149.66666666666666,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,8bxXug7LPYM,on_demand,not_subscribed,PH,5,,1,1,0.62576666666666669,37.546,43.156321839080462,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,KE,24,unknown,65,42,22.573,31.889214285714285,62.527871148459383,6,1.9883333333333333
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,US,7,q1b1-a7tU2M,1,1,12.180833333333334,730.85,96.291172595520422,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,CV,24,unknown,3,1,1.8815,112.89,221.35294117647058,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,g8sN5qexhMU,on_demand,not_subscribed,PR,3,what-to-watch,2,2,6.416666666666667,192.5,29.122541603630861,1,2.2716666666666665
20260712,UCSes4X8uDrpc4X46hJKjejg,t1CdkeoiPFE,on_demand,subscribed,US,7,6mbf3U3NgnY,1,1,25.523,1531.38,99.894324853228966,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,6wZwOsYD9rQ,on_demand,subscribed,US,5,austin reaves,1,1,8.4688333333333325,508.13,97.7173076923077,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,subscribed,PA,24,unknown,1,1,0.19,11.4,11.287128712871286,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,EhrQWOgY03w,on_demand,subscribed,US,5,,1,1,0.76916666666666667,46.15,1.5439946470391435,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,mUAP-9mAYUw,on_demand,not_subscribed,CA,5,,1,1,0.82976666666666665,49.786,70.121126760563385,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,xTLTvTrEHDo,on_demand,not_subscribed,US,3,what-to-watch,1,1,0.2515,15.09,0.2750637987604812,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,g8sN5qexhMU,on_demand,subscribed,TR,3,what-to-watch,1,1,10.814316666666667,648.859,98.163237518910748,1,10.814316666666667
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,subscribed,US,5,,1,1,0.18208333333333335,10.925,1.4393939393939394,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,subscribed,BR,3,what-to-watch,1,1,0.23316666666666666,13.99,21.859375,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,M6PvfZYH31E,on_demand,not_subscribed,IT,3,what-to-watch,2,1,1.4548333333333334,87.29,101.5,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,yTQv3l6WIPk,on_demand,not_subscribed,US,7,bN0KMAqudsU,1,1,4.3738333333333337,262.43,47.627949183303087,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,1Vs6b9DRFto,on_demand,subscribed,US,7,C8dU7dhrH00,1,1,2.2178333333333335,133.07,39.023460410557185,1,2.2178333333333335
20260712,UCSes4X8uDrpc4X46hJKjejg,yapU4SQQ39c,on_demand,subscribed,US,7,fQwPKlflonQ,1,1,45.38635,2723.181,99.969933920704847,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k5c7oBPcmRU,on_demand,subscribed,AW,24,unknown,1,1,0.38333333333333336,23,51.111111111111114,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,Ndt1hwd27a8,on_demand,not_subscribed,ID,5,,2,1,2.6233333333333335,157.4,111.63120567375887,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,3-756im2_CM,on_demand,not_subscribed,US,24,unknown,3,1,2.7406666666666668,164.44,252.98461538461538,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,dVOt2PRoaRE,on_demand,subscribed,PH,3,/my_subscriptions,3,3,5.5849,111.698,48.354112554112554,1,2.1219
20260712,UCSes4X8uDrpc4X46hJKjejg,LehzaEoh83Q,on_demand,not_subscribed,PH,24,unknown,1,0,0.031666666666666669,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,B0xDRPJb8mw,on_demand,not_subscribed,CA,24,unknown,1,1,0.33516666666666667,20.11,29.573529411764707,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,not_subscribed,IT,24,unknown,7,4,3.283,49.245,76.9453125,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,qMc2Kadj1PU,on_demand,not_subscribed,SG,3,what-to-watch,1,1,0.66766666666666663,40.06,5.865300146412884,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,US,5,unknown,36,23,16.764666666666667,43.73391304347826,85.752770673486779,2,0.87666666666666671
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,US,4,UCVRm2Ho8cL3lvWDyp2ayuFw,1,0,0.048333333333333332,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,subscribed,DE,3,/my_subscriptions,1,1,1.0066666666666666,60.4,94.375,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,not_subscribed,US,32,wcyttE-zXMk,2,2,0.05,1.5,0.062163282221301283,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,not_subscribed,AU,7,Hy94V_xsoKg,1,1,7.76845,466.107,26.498408186469586,1,7.76845
20260712,UCSes4X8uDrpc4X46hJKjejg,qMc2Kadj1PU,on_demand,not_subscribed,PH,5,,1,1,2.4366666666666665,146.2,21.405563689604683,1,2.4366666666666665
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,subscribed,JP,24,unknown,4,3,1.3476666666666666,26.366666666666664,51.699346405228759,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,HR,5,,1,1,0.11316666666666667,6.79,13.313725490196079,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,not_subscribed,US,7,2KriIMnFVWU,1,1,29.316016666666666,1758.961,99.997782831154069,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,BvHw3ddSlms,on_demand,not_subscribed,KE,3,what-to-watch,2,2,6.1755,185.265,3.879895287958115,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,not_subscribed,GR,24,unknown,3,1,0.11296666666666667,5.4,8.4375,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,subscribed,DE,7,ssiVcToGE8g,1,1,0.16166666666666665,9.7,0.55144968732234223,1,0.16166666666666665
20260712,UCSes4X8uDrpc4X46hJKjejg,ZojqfXQwdX8,on_demand,not_subscribed,CA,3,what-to-watch,2,2,2.9013333333333335,87.04,27.457413249211356,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,DiQL1Q4_4VM,on_demand,not_subscribed,US,5,,15,9,7.006,46.308888888888887,105.24747474747475,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k5c7oBPcmRU,on_demand,not_subscribed,PH,24,unknown,5,3,2.8776666666666668,57.553333333333335,127.8962962962963,1,0.131
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,not_subscribed,ZM,3,what-to-watch,2,2,1.3683333333333334,41.05,2.3337123365548607,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,US,7,_ftImyBdots,1,1,4.7258333333333331,283.55,37.35836627140975,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,B4aYi06AO4g,on_demand,not_subscribed,US,18,PLX3ZLYz4-6vE2_ZNLW5AfzbHTd1jTskDl,1,1,6.0443666666666669,362.662,11.649919691615805,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,JUn4tQJ9Y60,on_demand,not_subscribed,GH,24,unknown,1,1,0.533,31.98,48.454545454545453,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,ET,3,what-to-watch,1,1,5.871666666666667,352.3,46.4163372859025,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,FP-0zyc1SUI,on_demand,subscribed,US,5,,2,1,0.8128333333333333,48.77,99.530612244897952,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,not_subscribed,BA,3,what-to-watch,1,1,0.6455,38.73,2.2018192154633316,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,not_subscribed,CY,24,unknown,2,1,1.925,115.5,100.43478260869566,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,wcyttE-zXMk,on_demand,not_subscribed,HN,24,unknown,1,0,0.036666666666666667,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,not_subscribed,PL,24,unknown,2,1,1.9786166666666667,118.717,103.23217391304348,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,1ddQAJKAWeM,on_demand,not_subscribed,US,7,6mYXcUQHtfA,1,1,15.146016666666666,908.761,99.973707370737074,1,15.146016666666666
20260712,UCSes4X8uDrpc4X46hJKjejg,g8sN5qexhMU,on_demand,subscribed,PH,3,what-to-watch,2,2,3.2273333333333332,96.82,14.647503782148259,1,3.0073333333333334
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,NZ,8,unknown,5,4,1.0141666666666667,14.95025,29.314215686274508,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,IQ,24,unknown,6,2,3.0196666666666667,89.15,174.80392156862746,2,1.65
20260712,UCSes4X8uDrpc4X46hJKjejg,dVOt2PRoaRE,on_demand,not_subscribed,GB,4,UCSes4X8uDrpc4X46hJKjejg,1,1,3.1995,191.97,83.1038961038961,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,not_subscribed,ZA,7,DFY-sVJGeDI,1,1,12.640166666666667,758.41,99.922266139657438,1,12.640166666666667
20260712,UCSes4X8uDrpc4X46hJKjejg,84XwX8zGUOk,on_demand,not_subscribed,CL,3,what-to-watch,1,1,8.6283333333333339,517.7,99.942084942084946,1,8.6283333333333339
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,AE,24,unknown,54,25,22.45475,53.186719999999994,104.28768627450981,14,6.6533833333333332
20260712,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,subscribed,US,3,what-to-watch,15,11,15.15465,82.661727272727276,71.8797628458498,4,3.0303833333333334
20260712,UCSes4X8uDrpc4X46hJKjejg,84XwX8zGUOk,on_demand,not_subscribed,PH,3,what-to-watch,1,1,3.1451666666666669,188.71,36.430501930501933,1,3.1451666666666669
20260712,UCSes4X8uDrpc4X46hJKjejg,0JUVBPIGUg8,on_demand,not_subscribed,US,5,,7,5,2.80365,33.6438,86.266153846153841,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k5c7oBPcmRU,on_demand,not_subscribed,AU,24,unknown,9,5,2.3864666666666667,27.9096,62.021333333333331,1,0.042333333333333334
20260712,UCSes4X8uDrpc4X46hJKjejg,B4aYi06AO4g,on_demand,not_subscribed,US,3,what-to-watch,3,3,17.052683333333334,341.05366666666663,10.955787557554341,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,JUn4tQJ9Y60,on_demand,subscribed,US,4,UCSes4X8uDrpc4X46hJKjejg,2,1,0.17283333333333334,8.51,12.893939393939394,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,not_subscribed,KR,3,what-to-watch,1,1,0.53333333333333333,32,1.3261500207210941,1,0.53333333333333333
20260712,UCSes4X8uDrpc4X46hJKjejg,JwDkO74iC-w,on_demand,not_subscribed,US,18,PLX3ZLYz4-6vE2_ZNLW5AfzbHTd1jTskDl,1,1,41.535166666666669,2492.11,47.604775549188155,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,7Iwn2vTy66E,on_demand,not_subscribed,US,5,,5,3,2.2491666666666665,44.983333333333327,74.972222222222229,2,1.0291666666666666
20260712,UCSes4X8uDrpc4X46hJKjejg,oBHWYBkGqU4,on_demand,subscribed,US,24,unknown,1,1,0.12796666666666667,7.678,9.7189873417721522,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,not_subscribed,US,14,QP,1,1,0.082933333333333331,4.976,0.20621632822213012,1,0.082933333333333331
20260712,UCSes4X8uDrpc4X46hJKjejg,k5c7oBPcmRU,on_demand,subscribed,ID,24,unknown,2,1,0.815,48.9,108.66666666666667,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,not_subscribed,US,7,IWT9NwS_7Wk,1,1,8.938,536.28,22.224616659759636,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,oqop8HY9S0o,on_demand,not_subscribed,BE,5,,1,1,0.16816666666666666,10.09,6.1151515151515152,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,VmCBeYBnavo,on_demand,not_subscribed,US,24,unknown,1,1,0.10866666666666666,6.52,8.9315068493150687,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,84XwX8zGUOk,on_demand,not_subscribed,US,7,c5btde6nptU,1,1,4.2023333333333337,252.14,48.675675675675677,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,g8sN5qexhMU,on_demand,subscribed,AU,3,what-to-watch,3,3,20.679016666666666,413.58033333333333,62.568885526979322,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,9zaom3QbjYs,on_demand,subscribed,US,8,unknown,4,4,12.226683333333334,183.40025,24.163405797101451,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,not_subscribed,GH,24,unknown,45,24,33.6334,82.754333333333335,81.934983498349837,3,2.0578333333333334
20260712,UCSes4X8uDrpc4X46hJKjejg,5WC7gUC932A,on_demand,subscribed,DK,3,what-to-watch,1,1,2.46115,147.669,99.776351351351352,1,2.46115
20260712,UCSes4X8uDrpc4X46hJKjejg,7aDF_0FOSnA,on_demand,not_subscribed,US,5,,5,3,0.53168333333333329,9.407,8.8745283018867926,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,BvHw3ddSlms,on_demand,not_subscribed,AE,18,PLX3ZLYz4-6vE2_ZNLW5AfzbHTd1jTskDl,1,1,0.11808333333333333,7.085,0.14837696335078535,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ePdXtNfowRo,on_demand,subscribed,US,7,dozlZPhHU_4,1,1,8.545,512.7,99.941520467836256,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,subscribed,CA,24,unknown,1,1,0.37833333333333335,22.7,19.739130434782609,1,0.37833333333333335
20260712,UCSes4X8uDrpc4X46hJKjejg,ovzuDBHcqyE,on_demand,not_subscribed,US,7,0kI7uWtAe00,1,1,0.70773333333333333,42.464,2.4140989198408187,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,US,4,UCLrx5q90Y21e6Zv7u-cciMw,1,1,0.55238333333333334,33.143,64.98627450980392,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,not_subscribed,GR,5,nba,1,1,0.26,15.6,13.565217391304348,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ddLe4D7tM9o,on_demand,not_subscribed,OM,5,,2,1,3.6193333333333335,217.16,126.25581395348837,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,ePdXtNfowRo,on_demand,not_subscribed,US,7,RK0dr_kKMuU,1,1,0.18716666666666668,11.23,2.1890838206627681,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,subscribed,SA,24,unknown,1,0,0.032,0,0,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,JwDkO74iC-w,on_demand,not_subscribed,US,3,what-to-watch,21,21,138.88786666666667,396.82247619047621,7.5801810160549419,5,95.728233333333336
20260712,UCSes4X8uDrpc4X46hJKjejg,k_Qt4Ilp70c,on_demand,subscribed,TW,7,qMc2Kadj1PU,1,1,2.5011833333333335,150.071,25.609385665529011,0,0
20260712,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,subscribed,JO,24,unknown,1,1,0.36333333333333334,21.8,42.745098039215684,0,0
