date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,device_type,operating_system,views,engaged_views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20260716,UCSes4X8uDrpc4X46hJKjejg,zxka0rRvmaU,on_demand,not_subscribed,US,103,10,1,1,0.08335,5.001,10.640425531914893,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,k2rjwlyjahc,on_demand,not_subscribed,BR,104,4,6,3,1.7383333333333333,32.833333333333336,60.802469135802468,2,0.28666666666666668
20260716,UCSes4X8uDrpc4X46hJKjejg,NhHiDsqmBvI,on_demand,not_subscribed,ZA,104,5,1,1,0.15966666666666668,9.58,53.222222222222221,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,2JP4H1xoNWU,on_demand,subscribed,PH,101,2,1,1,0.074516666666666662,4.471,11.1775,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,MM,104,4,2,1,0.84333333333333338,50.6,99.2156862745098,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,xTLTvTrEHDo,on_demand,not_subscribed,CA,102,28,1,1,3.9902,239.412,4.36405395552315,1,3.9902
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,not_subscribed,GB,102,19,11,5,7.5110833333333336,90.13300000000001,125.18472222222222,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,not_subscribed,TC,105,5,1,1,7.831833333333333,469.91,76.657422512234916,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,PoyUkRaWZiM,on_demand,not_subscribed,US,102,26,10,10,37.809883333333332,226.8593,37.190049180327868,2,10.790116666666666
20260716,UCSes4X8uDrpc4X46hJKjejg,6wZwOsYD9rQ,on_demand,not_subscribed,DE,101,2,2,2,4.0043,120.129,23.10173076923077,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,wO2uMX8-8BE,on_demand,not_subscribed,US,104,5,2,2,1.1311666666666667,33.935,32.014150943396224,1,0.65766666666666662
20260716,UCSes4X8uDrpc4X46hJKjejg,50MHq47IaLU,on_demand,not_subscribed,BR,104,5,2,1,2.5773333333333333,154.64,134.46956521739131,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,not_subscribed,TT,102,29,7,7,7.2777833333333337,62.380999999999993,10.176345840130505,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,Ck3vqY7J6xQ,on_demand,not_subscribed,GB,102,1,9,9,18.70435,124.69566666666667,39.08955067920585,3,3.5991333333333331
20260716,UCSes4X8uDrpc4X46hJKjejg,1Vs6b9DRFto,on_demand,not_subscribed,US,103,10,1,1,7.3442,440.652,129.22346041055718,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,HAYtxUru2wQ,on_demand,not_subscribed,SG,102,4,1,0,0.064083333333333339,0,0,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,mza6X5H4Mzs,on_demand,not_subscribed,PH,102,12,1,1,15.753983333333334,945.239,27.99049452176488,1,15.753983333333334
20260716,UCSes4X8uDrpc4X46hJKjejg,Ey6xyzJD_2s,on_demand,subscribed,US,105,5,3,2,1.739,52.17,86.95,1,0.6065
20260716,UCSes4X8uDrpc4X46hJKjejg,8tbSej4GRRM,on_demand,subscribed,IN,104,4,1,1,0.053333333333333337,3.2,6.2745098039215685,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,subscribed,NL,104,5,7,7,40.515666666666668,347.27714285714285,56.652062456303895,5,27.969833333333334
20260716,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,US,102,26,1259,724,743.20961666666665,61.455234806629832,120.50046040515653,62,41.1134
20260716,UCSes4X8uDrpc4X46hJKjejg,Ck3vqY7J6xQ,on_demand,subscribed,GB,101,9,2,2,7.814516666666667,234.4355,73.490752351097186,2,7.814516666666667
20260716,UCSes4X8uDrpc4X46hJKjejg,HwWx5nhjCx8,on_demand,subscribed,US,104,4,3,3,27.515,550.30000000000007,52.8626320845341,1,17.341666666666665
20260716,UCSes4X8uDrpc4X46hJKjejg,hYGxcG9hdEE,on_demand,subscribed,US,101,9,1,1,1.6221833333333333,97.331,96.367326732673263,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,k2rjwlyjahc,on_demand,not_subscribed,TR,104,5,2,1,1.2238333333333333,73.43,135.9814814814815,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,AGfuhk7ttr0,on_demand,not_subscribed,FR,104,4,1,1,0.5,30,28.846153846153847,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,subscribed,PH,102,12,2,1,1.7524333333333333,105.146,146.0361111111111,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,k_Qt4Ilp70c,on_demand,not_subscribed,MY,104,5,1,1,0.7385,44.31,7.5614334470989757,1,0.7385
20260716,UCSes4X8uDrpc4X46hJKjejg,U0kEWDpv80Y,on_demand,not_subscribed,US,104,5,228,228,903.12208333333331,237.66370614035085,47.7236357711548,41,179.59266666666664
20260716,UCSes4X8uDrpc4X46hJKjejg,mza6X5H4Mzs,on_demand,not_subscribed,DE,101,2,1,1,54.9883,3299.298,97.6990820254664,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,HAYtxUru2wQ,on_demand,subscribed,BB,105,5,2,1,1.3678333333333332,82.07,103.88607594936708,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,QxkwRERjZgA,on_demand,not_subscribed,US,101,9,2,1,0.97478333333333333,58.487,100.8396551724138,2,0.97478333333333333
20260716,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,BR,104,4,17,5,2.8162833333333332,31.2954,61.363529411764709,2,0.85461666666666669
20260716,UCSes4X8uDrpc4X46hJKjejg,U0kEWDpv80Y,on_demand,subscribed,DE,101,2,1,1,3.9035166666666665,234.211,47.030321285140559,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,k3pJGiIh1RE,on_demand,not_subscribed,CZ,102,4,1,1,0.7134166666666667,42.805,83.931372549019613,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,DFY-sVJGeDI,on_demand,not_subscribed,US,102,1,3,3,26.486333333333334,529.72666666666669,21.953032186766126,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,mza6X5H4Mzs,on_demand,subscribed,AG,105,5,1,1,0.67,40.2,1.1904056855196921,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,apguqLi-hhk,on_demand,not_subscribed,CR,104,4,1,1,7.0566666666666666,423.4,69.070146818923334,1,7.0566666666666666
20260716,UCSes4X8uDrpc4X46hJKjejg,k_Qt4Ilp70c,on_demand,not_subscribed,GU,104,4,1,1,6.9683333333333337,418.1,71.3481228668942,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,MaurflLy1CQ,on_demand,not_subscribed,US,103,10,2,2,0.90285,27.0855,4.2721608832807574,0,0
20260716,UCSes4X8uDrpc4X46hJKjejg,J6rzMuvuMuo,on_demand,not_subscribed,US,104,5,7771,3904,3983.8478833333334,60.4744018954918,83.992224854849724,1220,579.79128333333369
20260716,UCSes4X8uDrpc4X46hJKjejg,59M8g_I818w,on_demand,not_subscribed,AT,101,2,8,6,3.2491833333333333,32.491833333333332,58.02113095238095,0,0
