Platform,Impressions,% Δ,Views,% Δ,Engagements,% Δ,Post Count,% Δ
Instagram,4580890,0.15534097627017418,4439346,0.1691904533650782,348450,0.1930440856238958,49,0.225
TikTok,2462849,,2462849,,232208,,42,
YouTube,1933641,14.762563889364408,1933641,14.762563889364408,67090,25.13556680950526,102,0.25925925925925924
X,1206155,7.318884060969722,1153247,10.446393123709703,33833,26.32875605815832,67,0.17543859649122806
Podcast,7001,6.400634249471459,1701,4.365930599369086,null,,9,0
