Platform,Impressions,% Δ,Views,% Δ,Engagements,% Δ,Post Count,% Δ
Instagram,5155210,0.1279029189726109,5104319,0.152458156575047,414123,0.18926020693873682,54,0.125
TikTok,2875243,0.17054807960845525,2875243,0.17054807960845525,260363,0.12274793228057163,47,0.14634146341463414
YouTube,2452727,0.3692685851586697,2452727,0.3692685851586697,82965,0.3284389861175604,107,0.09183673469387756
X,895969,-0.25566536348214447,808787,-0.29782616056320665,24119,-0.2869686040324011,89,0.36923076923076925
Podcast,66329,9.062044902912621,23098,14.398666666666667,null,,9,0.125
