Platform,Impressions,% Δ,Views,% Δ,Engagements,% Δ,Post Count,% Δ
Instagram,3670793,-0.4400413029056188,3641703,-0.36093790800124664,272817,-0.2706090890132983,51,-0.39285714285714285
YouTube,2364971,-0.3120894847297991,2364971,-0.3120894847297991,58861,-0.36208559569095383,112,-0.08196721311475409
TikTok,2324000,0.5659385456716354,2324000,0.5659385456716354,233415,1.2355189058728882,27,-0.22857142857142856
X,1811882,0.8549483355054296,1024555,0.5657288080163456,20229,0.43917188389299944,90,-0.20353982300884957
Facebook,1044137,,484257,,17888,,37,
Instagram Stories,433108,,433108,,null,,44,
Podcast,63772,-0.2679981634527089,19555,-0.26285434258142343,null,,12,-0.14285714285714285
